lead_id,owner_employee_id,owner_name,created_date,sla_due_date,status,sla_breached
lead-0001,EMP-0268,Tobin Ashby,2026-03-04,2026-03-06,qualified,false
lead-0002,EMP-0335,Thessaly Greywick,2026-03-15,2026-03-17,working,false
lead-0003,EMP-0307,Verity Bellcrest,2026-03-10,2026-03-12,qualified,false
lead-0004,EMP-0278,Merritt Crestfall,2026-03-08,2026-03-10,disqualified,false
lead-0005,EMP-0290,Quenby Yarrow,2026-03-01,2026-03-03,disqualified,false
lead-0006,EMP-0269,Fenwick Ivorwood,2026-03-13,2026-03-15,working,false
lead-0007,EMP-0344,Sorrel Greywick,2026-02-28,2026-03-02,qualified,false
lead-0008,EMP-0296,Wystan Osgood,2026-03-14,2026-03-16,new,false
lead-0009,EMP-0291,Baxter Duskwood,2026-03-02,2026-03-04,disqualified,false
lead-0010,EMP-0309,Quillon Greywick,2026-03-13,2026-03-15,working,false
lead-0011,EMP-0280,Verity Hallowell,2026-03-12,2026-03-14,qualified,false
lead-0012,EMP-0331,Cassian Pemberton,2026-03-13,2026-03-15,working,false
lead-0013,EMP-0301,Piran Underhill,2026-03-11,2026-03-13,working,false
lead-0014,EMP-0305,Faro Juniper,2026-03-10,2026-03-12,qualified,false
lead-0015,EMP-0333,Dashiell Nightshade,2026-02-28,2026-03-02,working,false
lead-0016,EMP-0342,Merritt Ashgrove,2026-02-24,2026-02-26,disqualified,false
lead-0017,EMP-0329,Quillon Osgood,2026-03-11,2026-03-13,qualified,false
lead-0018,EMP-0328,Honora Duskwood,2026-03-09,2026-03-11,disqualified,false
lead-0019,EMP-0327,Saskia Holloway,2026-02-26,2026-02-28,new,true
lead-0020,EMP-0309,Quillon Greywick,2026-03-10,2026-03-12,working,false
lead-0021,EMP-0309,Quillon Greywick,2026-03-16,2026-03-18,working,false
lead-0022,EMP-0297,Cassian Whitlock,2026-03-07,2026-03-09,new,true
lead-0023,EMP-0341,Cassian Duskwood,2026-03-13,2026-03-15,working,false
lead-0024,EMP-0317,Briar Underhill,2026-02-27,2026-03-01,qualified,false
lead-0025,EMP-0283,Hollis Pemberton,2026-03-11,2026-03-13,working,false
lead-0026,EMP-0264,Oleander Jarrow,2026-03-09,2026-03-11,disqualified,false
lead-0027,EMP-0264,Oleander Jarrow,2026-03-11,2026-03-13,disqualified,false
lead-0028,EMP-0264,Oleander Jarrow,2026-03-04,2026-03-06,working,false
lead-0029,EMP-0264,Oleander Jarrow,2026-03-16,2026-03-18,working,false
lead-0030,EMP-0264,Oleander Jarrow,2026-03-09,2026-03-11,disqualified,false
lead-0031,EMP-0264,Oleander Jarrow,2026-03-03,2026-03-05,new,true
lead-0032,EMP-0264,Oleander Jarrow,2026-03-08,2026-03-10,new,true
lead-0033,EMP-0264,Oleander Jarrow,2026-03-01,2026-03-03,disqualified,false
lead-0034,EMP-0264,Oleander Jarrow,2026-03-09,2026-03-11,new,true
lead-0035,EMP-0264,Oleander Jarrow,2026-03-14,2026-03-16,new,false
lead-0036,EMP-0264,Oleander Jarrow,2026-03-06,2026-03-08,working,false
lead-0037,EMP-0264,Oleander Jarrow,2026-03-05,2026-03-07,working,false
lead-0038,EMP-0264,Oleander Jarrow,2026-03-02,2026-03-04,working,false
lead-0039,EMP-0264,Oleander Jarrow,2026-03-01,2026-03-03,new,true
lead-0040,EMP-0264,Oleander Jarrow,2026-03-06,2026-03-08,new,true
lead-0041,EMP-0264,Oleander Jarrow,2026-02-24,2026-02-26,new,true
lead-0042,EMP-0264,Oleander Jarrow,2026-02-28,2026-03-02,qualified,false
lead-0043,EMP-0264,Oleander Jarrow,2026-03-09,2026-03-11,qualified,false
lead-0044,EMP-0264,Oleander Jarrow,2026-03-02,2026-03-04,working,false
lead-0045,EMP-0264,Oleander Jarrow,2026-02-25,2026-02-27,working,false
lead-0046,EMP-0264,Oleander Jarrow,2026-03-12,2026-03-14,qualified,false
lead-0047,EMP-0264,Oleander Jarrow,2026-03-16,2026-03-18,working,false
