LEDES1998B[]
INVOICE_DATE|INVOICE_NUMBER|CLIENT_ID|LAW_FIRM_MATTER_ID|INVOICE_TOTAL|BILLING_START_DATE|BILLING_END_DATE|INVOICE_DESCRIPTION|LINE_ITEM_NUMBER|EXP_FEE_INV_ADJ_TYPE|LINE_ITEM_NUMBER_OF_UNITS|LINE_ITEM_ADJUSTMENT_AMOUNT|LINE_ITEM_TOTAL|LINE_ITEM_DATE|LINE_ITEM_TASK_CODE|LINE_ITEM_EXPENSE_CODE|LINE_ITEM_ACTIVITY_CODE|TIMEKEEPER_ID|LINE_ITEM_DESCRIPTION|LAW_FIRM_ID|LINE_ITEM_UNIT_COST|TIMEKEEPER_NAME|TIMEKEEPER_CLASSIFICATION|CLIENT_MATTER_ID[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|1|F|2.4|0.00|1740.00|2026-03-12|L510||A109|TK-001|JKS 03/12 2.4 hrs L510 Trial preparation and strategy session with client re: upcoming hearing|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|2|F|6.8|0.00|3162.00|2026-03-14|L120||A104|TK-002|Review correspondence; draft memo to client; telephone conference with opposing counsel; revise pleading; prepare for hearing (block-billed, not itemized by task)|co-001|465.00|Marlowe O. Duskwood|Associate|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|3|F|2.6|0.00|572.00|2026-03-01|L610||A108|TK-003|RTP Settlement/ADR|co-001|220.00|Reyna T. Pemberton|Paralegal|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|4|F|1.95|0.00|906.75|2026-03-09|L430||A109|TK-002|MOD Written motions and submissions|co-001|465.00|Marlowe O. Duskwood|Associate|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|5|F|0.87|0.00|630.75|2026-02-19|L110||A109|TK-001|JKS Fact investigation/development|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|6|F|4.12|0.00|906.40|2026-02-17|L110||A108|TK-003|RTP Fact investigation/development|co-001|220.00|Reyna T. Pemberton|Paralegal|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|7|F|4.77|0.00|3458.25|2026-03-04|L310||A104|TK-001|JKS Written discovery|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|8|F|4.23|0.00|1966.95|2026-02-16|L110||A103|TK-002|MOD Fact investigation/development|co-001|465.00|Marlowe O. Duskwood|Associate|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|9|F|3.58|0.00|2595.50|2026-03-11|L210||A104|TK-001|JKS Pleadings|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|10|F|2.17|0.00|1573.25|2026-03-10|L210||A108|TK-001|JKS Pleadings|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|11|F|2.49|0.00|547.80|2026-03-05|L110||A108|TK-003|RTP Fact investigation/development|co-001|220.00|Reyna T. Pemberton|Paralegal|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|12|F|1.74|0.00|809.10|2026-03-06|L310||A109|TK-002|MOD Written discovery|co-001|465.00|Marlowe O. Duskwood|Associate|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|13|F|4.12|0.00|2987.00|2026-02-20|L610||A109|TK-001|JKS Settlement/ADR|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
