employee_id,first_name,last_name,department,role_title,level,manager_employee_id,start_date,employment_status,finance_system_role,email
EMP-0001,Kestrel,Ashgrove,Executive,Chief Executive Officer,Executive,,2019-03-09,active,,kestrel.ashgrove.emp-0001@co002.example
EMP-0002,Marlowe,Bellcrest,Engineering,"VP, Engineering",VP,EMP-0001,2021-05-30,active,,marlowe.bellcrest.emp-0002@co002.example
EMP-0003,Oleander,Ashgrove,Engineering,"Director, Engineering",Director,EMP-0002,2022-08-18,active,,oleander.ashgrove.emp-0003@co002.example
EMP-0004,Freya,Nightshade,Engineering,"Director, Engineering",Director,EMP-0002,2020-10-17,active,,freya.nightshade.emp-0004@co002.example
EMP-0005,Dashiell,Quennell,Engineering,"Director, Engineering",Director,EMP-0002,2020-04-13,active,,dashiell.quennell.emp-0005@co002.example
EMP-0006,Freya,Thistlewood,Engineering,"Director, Engineering",Director,EMP-0002,2025-04-18,active,,freya.thistlewood.emp-0006@co002.example
EMP-0007,Delphine,Greywick,Engineering,"Director, Engineering",Director,EMP-0002,2021-05-01,active,,delphine.greywick.emp-0007@co002.example
EMP-0008,Ivo,Bellcrest,Engineering,"Director, Engineering",Director,EMP-0002,2020-09-05,active,,ivo.bellcrest.emp-0008@co002.example
EMP-0009,Honora,Larkspur,Engineering,"Director, Engineering",Director,EMP-0002,2022-01-08,active,,honora.larkspur.emp-0009@co002.example
EMP-0010,Fenwick,Osgood,Engineering,"Director, Engineering",Director,EMP-0002,2020-03-17,active,,fenwick.osgood.emp-0010@co002.example
EMP-0011,Nessa,Juniper,Engineering,"Director, Engineering",Director,EMP-0002,2024-10-19,departed,,nessa.juniper.emp-0011@co002.example
EMP-0012,Cormac,Yarrow,Engineering,"Director, Engineering",Director,EMP-0002,2023-10-21,departed,,cormac.yarrow.emp-0012@co002.example
EMP-0013,Zephyrine,Yarrow,Engineering,"Director, Engineering",Director,EMP-0002,2020-08-03,active,,zephyrine.yarrow.emp-0013@co002.example
EMP-0014,Quenby,Osgood,Engineering,Engineering Manager,Manager,EMP-0005,2023-07-14,active,,quenby.osgood.emp-0014@co002.example
EMP-0015,Briar,Ravenscroft,Engineering,Engineering Manager,Manager,EMP-0012,2024-06-03,active,,briar.ravenscroft.emp-0015@co002.example
EMP-0016,Faro,Bellcrest,Engineering,Engineering Manager,Manager,EMP-0009,2021-04-05,active,,faro.bellcrest.emp-0016@co002.example
EMP-0017,Dashiell,Ashgrove,Engineering,Engineering Manager,Manager,EMP-0012,2024-12-21,active,,dashiell.ashgrove.emp-0017@co002.example
EMP-0018,Fenwick,Fairweather,Engineering,Engineering Manager,Manager,EMP-0005,2020-04-27,active,,fenwick.fairweather.emp-0018@co002.example
EMP-0019,Dashiell,Ashby,Engineering,Engineering Manager,Manager,EMP-0005,2022-09-16,active,,dashiell.ashby.emp-0019@co002.example
EMP-0020,Tobin,Oakhurst,Engineering,Engineering Manager,Manager,EMP-0005,2022-02-20,active,,tobin.oakhurst.emp-0020@co002.example
EMP-0021,Rhoswen,Norwich,Engineering,Engineering Manager,Manager,EMP-0007,2025-10-31,active,,rhoswen.norwich.emp-0021@co002.example
EMP-0022,Yara,Osgood,Engineering,Engineering Manager,Manager,EMP-0008,2024-11-11,active,,yara.osgood.emp-0022@co002.example
EMP-0023,Saskia,Ingledew,Engineering,Engineering Manager,Manager,EMP-0003,2021-02-06,active,,saskia.ingledew.emp-0023@co002.example
EMP-0024,Sable,Holloway,Engineering,Engineering Manager,Manager,EMP-0004,2024-11-30,active,,sable.holloway.emp-0024@co002.example
EMP-0025,Dashiell,Bellcrest,Engineering,Engineering Manager,Manager,EMP-0007,2021-07-07,active,,dashiell.bellcrest.emp-0025@co002.example
EMP-0026,Perrin,Ashgrove,Engineering,Engineering Manager,Manager,EMP-0009,2020-08-16,active,,perrin.ashgrove.emp-0026@co002.example
EMP-0027,Wystan,Grayling,Engineering,Engineering Manager,Manager,EMP-0005,2023-03-04,active,,wystan.grayling.emp-0027@co002.example
EMP-0028,Saskia,Ashgrove,Engineering,Engineering Manager,Manager,EMP-0009,2020-05-15,active,,saskia.ashgrove.emp-0028@co002.example
EMP-0029,Ivo,Kirtland,Engineering,Engineering Manager,Manager,EMP-0006,2023-01-23,active,,ivo.kirtland.emp-0029@co002.example
EMP-0030,Sorrel,Fenmore,Engineering,Engineering Manager,Manager,EMP-0006,2020-08-02,active,,sorrel.fenmore.emp-0030@co002.example
EMP-0031,Cormac,Elderkin,Engineering,Engineering Manager,Manager,EMP-0010,2025-07-17,active,,cormac.elderkin.emp-0031@co002.example
EMP-0032,Junot,Kestenbaum,Engineering,Engineering Manager,Manager,EMP-0007,2020-08-30,departed,,junot.kestenbaum.emp-0032@co002.example
EMP-0033,Honora,Marchbanks,Engineering,Engineering Manager,Manager,EMP-0005,2020-12-20,active,,honora.marchbanks.emp-0033@co002.example
EMP-0034,Wystan,Kestenbaum,Engineering,Engineering Manager,Manager,EMP-0008,2021-06-12,active,,wystan.kestenbaum.emp-0034@co002.example
EMP-0035,Baxter,Marchbanks,Engineering,Engineering Manager,Manager,EMP-0006,2025-02-26,active,,baxter.marchbanks.emp-0035@co002.example
EMP-0036,Lyric,Vantree,Engineering,Engineering Manager,Manager,EMP-0013,2022-10-28,active,,lyric.vantree.emp-0036@co002.example
EMP-0037,Verity,Kirtland,Engineering,Engineering Manager,Manager,EMP-0005,2025-05-19,active,,verity.kirtland.emp-0037@co002.example
EMP-0038,Ivo,Norwich,Engineering,Engineering Manager,Manager,EMP-0005,2024-12-26,active,,ivo.norwich.emp-0038@co002.example
EMP-0039,Honora,Moorfield,Engineering,Engineering Manager,Manager,EMP-0003,2020-05-25,active,,honora.moorfield.emp-0039@co002.example
EMP-0040,Merritt,Larkspur,Engineering,Engineering Manager,Manager,EMP-0013,2022-02-21,active,,merritt.larkspur.emp-0040@co002.example
