hris_person_id,employee_id,full_name,work_email,department,role_title,level,manager_employee_id,hire_date,employment_status,employment_type,fte,record_status,last_updated
PER-100001,EMP-0001,Kestrel Ashgrove,kestrel.ashgrove.emp-0001@co002.example,Executive,Chief Executive Officer,Executive,,2019-03-09,active,full_time,1.0,active,2025-10-13
PER-100002,EMP-0002,Marlowe Bellcrest,marlowe.bellcrest.emp-0002@co002.example,Engineering,"VP, Engineering",VP,EMP-0001,2021-05-30,active,full_time,1.0,active,2026-03-26
PER-100003,EMP-0003,Oleander Ashgrove,oleander.ashgrove.emp-0003@co002.example,Engineering,"Director, Engineering",Director,EMP-0002,2022-08-18,active,full_time,1.0,active,2026-02-28
PER-100004,EMP-0004,Freya Nightshade,freya.nightshade.emp-0004@co002.example,Engineering,"Director, Engineering",Director,EMP-0002,2020-10-17,active,full_time,1.0,active,2026-03-16
PER-100005,EMP-0005,Dashiell Quennell,dashiell.quennell.emp-0005@co002.example,Engineering,"Director, Engineering",Director,EMP-0002,2020-04-13,active,full_time,1.0,active,2025-12-13
PER-100006,EMP-0006,Freya Thistlewood,freya.thistlewood.emp-0006@co002.example,Engineering,"Director, Engineering",Director,EMP-0002,2025-04-18,active,full_time,1.0,active,2025-10-31
PER-100007,EMP-0007,Delphine Greywick,delphine.greywick.emp-0007@co002.example,Engineering,"Director, Engineering",Director,EMP-0002,2021-05-01,active,full_time,1.0,active,2026-02-13
PER-100008,EMP-0008,Ivo Bellcrest,ivo.bellcrest.emp-0008@co002.example,Engineering,"Director, Engineering",Director,EMP-0002,2020-09-05,active,full_time,1.0,active,2026-03-18
PER-100009,EMP-0009,Honora Larkspur,honora.larkspur.emp-0009@co002.example,Engineering,"Director, Engineering",Director,EMP-0002,2022-01-08,active,part_time,0.6,active,2026-03-06
PER-100010,EMP-0010,Fenwick Osgood,fenwick.osgood.emp-0010@co002.example,Engineering,"Director, Engineering",Director,EMP-0002,2020-03-17,active,full_time,1.0,active,2025-12-01
PER-100011,EMP-0013,Zephyrine Yarrow,zephyrine.yarrow.emp-0013@co002.example,Engineering,"Director, Engineering",Director,EMP-0002,2020-08-03,active,full_time,1.0,active,2025-11-06
PER-100012,EMP-0014,Quenby Osgood,quenby.osgood.emp-0014@co002.example,Engineering,Engineering Manager,Manager,EMP-0005,2023-07-14,active,full_time,1.0,active,2025-12-12
PER-100013,EMP-0015,Briar Ravenscroft,briar.ravenscroft.emp-0015@co002.example,Engineering,Engineering Manager,Manager,EMP-0012,2024-06-03,active,full_time,1.0,active,2026-01-27
PER-100014,EMP-0016,Faro Bellcrest,faro.bellcrest.emp-0016@co002.example,Engineering,Engineering Manager,Manager,EMP-0009,2021-04-05,active,full_time,1.0,active,2026-02-26
PER-100015,EMP-0017,Dashiell Ashgrove,dashiell.ashgrove.emp-0017@co002.example,Engineering,Engineering Manager,Manager,EMP-0012,2024-12-21,active,full_time,1.0,active,2025-11-17
PER-100016,EMP-0018,Fenwick Fairweather,fenwick.fairweather.emp-0018@co002.example,Engineering,Engineering Manager,Manager,EMP-0005,2020-04-27,active,full_time,1.0,active,2025-12-02
PER-100017,EMP-0019,Dashiell Ashby,dashiell.ashby.emp-0019@co002.example,Engineering,Engineering Manager,Manager,EMP-0005,2022-09-16,active,full_time,1.0,active,2026-02-13
PER-100018,EMP-0020,Tobin Oakhurst,tobin.oakhurst.emp-0020@co002.example,Engineering,Engineering Manager,Manager,EMP-0005,2022-02-20,active,full_time,1.0,active,2026-03-17
PER-100019,EMP-0021,Rhoswen Norwich,rhoswen.norwich.emp-0021@co002.example,Engineering,Engineering Manager,Manager,EMP-0007,2025-10-31,active,full_time,1.0,active,2026-03-03
PER-100020,EMP-0022,Yara Osgood,yara.osgood.emp-0022@co002.example,Engineering,Engineering Manager,Manager,EMP-0008,2024-11-11,active,full_time,1.0,active,2025-10-18
PER-100021,EMP-0023,Saskia Ingledew,saskia.ingledew.emp-0023@co002.example,Engineering,Engineering Manager,Manager,EMP-0003,2021-02-06,active,full_time,1.0,active,2026-03-19
PER-100022,EMP-0024,Sable Holloway,sable.holloway.emp-0024@co002.example,Engineering,Engineering Manager,Manager,EMP-0004,2024-11-30,active,full_time,1.0,active,2026-03-09
PER-100023,EMP-0025,Dashiell Bellcrest,dashiell.bellcrest.emp-0025@co002.example,Engineering,Engineering Manager,Manager,EMP-0007,2021-07-07,active,full_time,1.0,active,2025-10-11
PER-100024,EMP-0026,Perrin Ashgrove,perrin.ashgrove.emp-0026@co002.example,Engineering,Engineering Manager,Manager,EMP-0009,2020-08-16,active,full_time,1.0,active,2026-01-17
PER-100025,EMP-0027,Wystan Grayling,wystan.grayling.emp-0027@co002.example,Engineering,Engineering Manager,Manager,EMP-0005,2023-03-04,active,full_time,1.0,active,2026-01-04
PER-100026,EMP-0028,Saskia Ashgrove,saskia.ashgrove.emp-0028@co002.example,Engineering,Engineering Manager,Manager,EMP-0009,2020-05-15,active,full_time,1.0,active,2026-03-03
PER-100027,EMP-0029,Ivo Kirtland,ivo.kirtland.emp-0029@co002.example,Engineering,Engineering Manager,Manager,EMP-0006,2023-01-23,active,full_time,1.0,active,2025-12-18
PER-100028,EMP-0030,Sorrel Fenmore,sorrel.fenmore.emp-0030@co002.example,Engineering,Engineering Manager,Manager,EMP-0006,2020-08-02,active,full_time,1.0,active,2026-01-10
PER-100029,EMP-0031,Cormac Elderkin,cormac.elderkin.emp-0031@co002.example,Engineering,Engineering Manager,Manager,EMP-0010,2025-07-17,active,full_time,1.0,active,2026-01-21
PER-100030,EMP-0033,Honora Marchbanks,honora.marchbanks.emp-0033@co002.example,Engineering,Engineering Manager,Manager,EMP-0005,2020-12-20,active,full_time,1.0,active,2026-03-04
PER-100031,EMP-0034,Wystan Kestenbaum,wystan.kestenbaum.emp-0034@co002.example,Engineering,Engineering Manager,Manager,EMP-0008,2021-06-12,active,full_time,1.0,active,2025-10-31
PER-100032,EMP-0035,Baxter Marchbanks,baxter.marchbanks.emp-0035@co002.example,Engineering,Engineering Manager,Manager,EMP-0006,2025-02-26,active,full_time,1.0,active,2026-02-28
PER-100033,EMP-0036,Lyric Vantree,lyric.vantree.emp-0036@co002.example,Engineering,Engineering Manager,Manager,EMP-0013,2022-10-28,active,full_time,1.0,active,2025-12-31
PER-100034,EMP-0037,Verity Kirtland,verity.kirtland.emp-0037@co002.example,Engineering,Engineering Manager,Manager,EMP-0005,2025-05-19,active,full_time,1.0,active,2026-03-13
PER-100035,EMP-0038,Ivo Norwich,ivo.norwich.emp-0038@co002.example,Engineering,Engineering Manager,Manager,EMP-0005,2024-12-26,active,full_time,1.0,active,2026-02-13
PER-100036,EMP-0039,Honora Moorfield,honora.moorfield.emp-0039@co002.example,Engineering,Engineering Manager,Manager,EMP-0003,2020-05-25,active,full_time,1.0,active,2026-02-24
PER-100037,EMP-0040,Merritt Larkspur,merritt.larkspur.emp-0040@co002.example,Engineering,Engineering Manager,Manager,EMP-0013,2022-02-21,active,full_time,1.0,active,2026-02-03
PER-100038,EMP-0041,Zephyrine Pemberton,zephyrine.pemberton.emp-0041@co002.example,Engineering,Engineering Manager,Manager,EMP-0009,2025-01-27,active,full_time,1.0,active,2025-10-26
PER-100039,EMP-0042,Sable Yarrow,sable.yarrow.emp-0042@co002.example,Engineering,QA Engineer,IC,EMP-0024,2022-03-29,active,full_time,1.0,active,2025-12-26
PER-100040,EMP-0043,Delphine Bellcrest,delphine.bellcrest.emp-0043@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0014,2020-11-20,active,full_time,1.0,active,2025-11-10
PER-100041,EMP-0044,Dashiell Fenmore,dashiell.fenmore.emp-0044@co002.example,Engineering,QA Engineer,IC,EMP-0029,2024-06-11,active,full_time,1.0,active,2026-03-31
PER-100042,EMP-0045,Ondine Pennington,ondine.pennington.emp-0045@co002.example,Engineering,Software Engineer,IC,EMP-0020,2022-04-04,active,full_time,1.0,active,2026-02-12
PER-100043,EMP-0046,Wrenna Oakhurst,wrenna.oakhurst.emp-0046@co002.example,Engineering,Software Engineer,IC,EMP-0025,2025-12-19,active,full_time,1.0,active,2026-01-19
PER-100044,EMP-0047,Hollis Quennell,hollis.quennell.emp-0047@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0040,2020-10-16,active,part_time,0.6,active,2025-10-18
PER-100045,EMP-0048,Rhoswen Ashby,rhoswen.ashby.emp-0048@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0018,2020-12-24,active,part_time,0.6,active,2026-01-27
PER-100046,EMP-0049,Lior Quennell,lior.quennell.emp-0049@co002.example,Engineering,Software Engineer,IC,EMP-0017,2023-11-10,active,full_time,1.0,active,2026-02-12
PER-100047,EMP-0050,Verity Larkspur,verity.larkspur.emp-0050@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0018,2020-03-18,active,full_time,1.0,active,2026-01-07
PER-100048,EMP-0051,Corin Corrigan,corin.corrigan.emp-0051@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0032,2024-04-02,active,full_time,1.0,active,2025-12-06
PER-100049,EMP-0052,Aldous Vantree,aldous.vantree.emp-0052@co002.example,Engineering,QA Engineer,IC,EMP-0026,2020-09-08,active,full_time,1.0,active,2026-03-26
PER-100050,EMP-0053,Gideon Loxley,gideon.loxley.emp-0053@co002.example,Engineering,Staff Engineer,IC,EMP-0019,2022-02-21,active,full_time,1.0,active,2026-01-09
PER-100051,EMP-0054,Zephyrine Marchbanks,zephyrine.marchbanks.emp-0054@co002.example,Engineering,QA Engineer,IC,EMP-0032,2025-11-08,active,full_time,1.0,active,2026-03-15
PER-100052,EMP-0055,Fenwick Underhill,fenwick.underhill.emp-0055@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0019,2021-08-08,active,part_time,0.8,active,2025-11-19
PER-100053,EMP-0056,Guinevere Millgate,guinevere.millgate.emp-0056@co002.example,Engineering,QA Engineer,IC,EMP-0026,2022-02-14,active,full_time,1.0,active,2025-12-30
PER-100054,EMP-0057,Marlowe Holloway,marlowe.holloway.emp-0057@co002.example,Engineering,Software Engineer,IC,EMP-0038,2025-10-16,active,full_time,1.0,active,2025-12-28
PER-100055,EMP-0059,Lior Crestfall,lior.crestfall.emp-0059@co002.example,Engineering,Software Engineer,IC,EMP-0029,2023-04-11,active,full_time,1.0,active,2025-11-09
PER-100056,EMP-0060,Emlyn Hallowell,emlyn.hallowell.emp-0060@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0031,2023-06-21,active,full_time,1.0,active,2026-01-13
PER-100057,EMP-0061,Wrenna Kirtland,wrenna.kirtland.emp-0061@co002.example,Engineering,QA Engineer,IC,EMP-0037,2020-09-25,active,full_time,1.0,active,2026-03-29
PER-100058,EMP-0062,Junot Ingledew,junot.ingledew.emp-0062@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0039,2024-03-12,active,full_time,1.0,active,2025-11-17
PER-100059,EMP-0063,Reyna Fairweather,reyna.fairweather.emp-0063@co002.example,Engineering,QA Engineer,IC,EMP-0024,2023-07-14,active,full_time,1.0,active,2025-12-17
PER-100060,EMP-0064,Thessaly Elderkin,thessaly.elderkin.emp-0064@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0021,2022-06-10,active,full_time,1.0,active,2025-10-24
PER-100061,EMP-0065,Faro Ashgrove,faro.ashgrove.emp-0065@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0038,2024-01-21,active,full_time,1.0,active,2025-11-20
PER-100062,EMP-0066,Dashiell Underhill,dashiell.underhill.emp-0066@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0020,2025-02-06,active,full_time,1.0,active,2025-11-06
PER-100063,EMP-0067,Aldous Pemberton,aldous.pemberton.emp-0067@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0026,2022-04-12,active,part_time,0.6,active,2026-01-09
PER-100064,EMP-0068,Wystan Blackwood,wystan.blackwood.emp-0068@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0040,2025-09-06,active,full_time,1.0,active,2025-12-24
PER-100065,EMP-0069,Cassian Dunmore,cassian.dunmore.emp-0069@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0037,2023-10-22,active,full_time,1.0,active,2026-01-21
PER-100066,EMP-0070,Tamsin Marchbanks,tamsin.marchbanks.emp-0070@co002.example,Engineering,QA Engineer,IC,EMP-0031,2021-10-19,active,full_time,1.0,active,2025-12-16
PER-100067,EMP-0071,Oleander Corrigan,oleander.corrigan.emp-0071@co002.example,Engineering,Software Engineer,IC,EMP-0022,2023-04-02,active,part_time,0.8,active,2026-01-02
PER-100068,EMP-0072,Tobin Everhart,tobin.everhart.emp-0072@co002.example,Engineering,QA Engineer,IC,EMP-0036,2023-04-24,active,full_time,1.0,active,2025-11-19
PER-100069,EMP-0073,Yara Pemberton,yara.pemberton.emp-0073@co002.example,Engineering,QA Engineer,IC,EMP-0015,2023-02-12,active,full_time,1.0,active,2025-10-17
PER-100070,EMP-0074,Gideon Juniper,gideon.juniper.emp-0074@co002.example,Engineering,Staff Engineer,IC,EMP-0030,2022-11-28,active,part_time,0.6,active,2025-10-09
PER-100071,EMP-0075,Ulric Millgate,ulric.millgate.emp-0075@co002.example,Engineering,Software Engineer,IC,EMP-0040,2021-12-16,active,part_time,0.6,active,2025-10-30
PER-100072,EMP-0076,Ivo Underhill,ivo.underhill.emp-0076@co002.example,Engineering,Software Engineer,IC,EMP-0040,2026-01-02,active,full_time,1.0,active,2026-02-28
PER-100073,EMP-0077,Ivo Ingledew,ivo.ingledew.emp-0077@co002.example,Engineering,QA Engineer,IC,EMP-0037,2021-10-21,active,full_time,1.0,active,2026-01-11
PER-100074,EMP-0078,Lyric Grayling,lyric.grayling.emp-0078@co002.example,Engineering,Software Engineer,IC,EMP-0015,2022-02-08,active,full_time,1.0,active,2025-10-23
PER-100075,EMP-0079,Cassian Loxley,cassian.loxley.emp-0079@co002.example,Engineering,Senior Software Engineer,IC,EMP-0014,2023-12-25,active,full_time,1.0,active,2026-02-24
PER-100076,EMP-0080,Dashiell Jarrow,dashiell.jarrow.emp-0080@co002.example,Engineering,QA Engineer,IC,EMP-0033,2023-06-04,active,full_time,1.0,active,2026-02-21
PER-100077,EMP-0081,Gideon Everhart,gideon.everhart.emp-0081@co002.example,Engineering,Staff Engineer,IC,EMP-0025,2021-05-29,active,full_time,1.0,active,2026-03-31
PER-100078,EMP-0082,Halcyon Fenmore,halcyon.fenmore.emp-0082@co002.example,Engineering,Senior Software Engineer,IC,EMP-0037,2024-08-17,active,full_time,1.0,active,2026-02-11
PER-100079,EMP-0083,Lyric Crestfall,lyric.crestfall.emp-0083@co002.example,Engineering,Senior Software Engineer,IC,EMP-0036,2024-08-31,active,full_time,1.0,active,2025-12-04
PER-100080,EMP-0084,Baxter Osgood,baxter.osgood.emp-0084@co002.example,Engineering,Staff Engineer,IC,EMP-0033,2023-05-11,active,full_time,1.0,active,2025-10-26
PER-100081,EMP-0085,Kestrel Osgood,kestrel.osgood.emp-0085@co002.example,Engineering,QA Engineer,IC,EMP-0039,2023-03-15,active,part_time,0.6,active,2026-03-28
PER-100082,EMP-0086,Oleander Fairweather,oleander.fairweather.emp-0086@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0029,2020-11-06,active,full_time,1.0,active,2026-01-13
PER-100083,EMP-0087,Oleander Larkspur,oleander.larkspur.emp-0087@co002.example,Engineering,Staff Engineer,IC,EMP-0021,2025-04-09,active,full_time,1.0,active,2025-12-15
PER-100084,EMP-0089,Isolde Pemberton,isolde.pemberton.emp-0089@co002.example,Engineering,Senior Software Engineer,IC,EMP-0018,2021-03-01,active,full_time,1.0,active,2026-03-06
PER-100085,EMP-0090,Kestrel Ravenscroft,kestrel.ravenscroft.emp-0090@co002.example,Engineering,Software Engineer,IC,EMP-0016,2024-05-14,active,full_time,1.0,active,2025-11-24
