interval_id,employee_id,full_name,role_title,panel_role,start_at,end_at,duration_minutes,busy_type,subject,source_artifact
CAL-2026-0001,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-09T09:30:00Z,2026-03-09T10:30:00Z,60,team_meeting,Team meeting,
CAL-2026-0002,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-09T11:30:00Z,2026-03-09T12:00:00Z,30,program_review,Program review,
CAL-2026-0003,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-09T11:45:00Z,2026-03-09T12:45:00Z,60,program_review,Program review,
CAL-2026-0004,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-09T13:00:00Z,2026-03-09T13:30:00Z,30,interview,"Interview, RQN-2026-0106, recruiter screen",HR-03
CAL-2026-0005,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-09T13:30:00Z,2026-03-09T15:00:00Z,90,one_to_one,One to one,
CAL-2026-0006,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-09T13:30:00Z,2026-03-09T14:15:00Z,45,one_to_one,One to one,
CAL-2026-0007,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-09T15:45:00Z,2026-03-09T16:30:00Z,45,focus_block,Focus block,
CAL-2026-0008,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-10T09:30:00Z,2026-03-10T10:15:00Z,45,delivery_sync,Cross functional delivery sync,OPS-01
CAL-2026-0009,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-10T10:00:00Z,2026-03-10T11:00:00Z,60,focus_block,Focus block,
CAL-2026-0010,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-10T11:00:00Z,2026-03-10T11:30:00Z,30,interview,"Interview, RQN-2026-0106, recruiter screen",HR-03
CAL-2026-0011,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-10T11:45:00Z,2026-03-10T13:15:00Z,90,team_meeting,Team meeting,
CAL-2026-0012,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-10T13:45:00Z,2026-03-10T14:15:00Z,30,one_to_one,One to one,
CAL-2026-0013,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-10T16:00:00Z,2026-03-10T17:00:00Z,60,training,Training session,
CAL-2026-0014,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-11T10:30:00Z,2026-03-11T11:00:00Z,30,team_meeting,Team meeting,
CAL-2026-0015,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-11T12:30:00Z,2026-03-11T14:00:00Z,90,focus_block,Focus block,
CAL-2026-0016,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-11T14:45:00Z,2026-03-11T15:15:00Z,30,training,Training session,
CAL-2026-0017,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-11T15:30:00Z,2026-03-11T16:00:00Z,30,training,Training session,
CAL-2026-0018,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-11T16:00:00Z,2026-03-11T16:45:00Z,45,training,Training session,
CAL-2026-0019,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-12T09:00:00Z,2026-03-12T10:30:00Z,90,one_to_one,One to one,
CAL-2026-0020,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-12T10:00:00Z,2026-03-12T11:00:00Z,60,interview,"Interview, RQN-2026-0106, hiring manager",HR-03
CAL-2026-0021,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-12T10:30:00Z,2026-03-12T11:00:00Z,30,focus_block,Focus block,
CAL-2026-0022,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-12T11:00:00Z,2026-03-12T11:30:00Z,30,program_review,Program review,
CAL-2026-0023,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-12T11:30:00Z,2026-03-12T12:15:00Z,45,focus_block,Focus block,
CAL-2026-0024,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-12T14:30:00Z,2026-03-12T16:00:00Z,90,program_review,Program review,
CAL-2026-0025,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-13T10:45:00Z,2026-03-13T11:45:00Z,60,program_review,Program review,
CAL-2026-0026,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-13T11:30:00Z,2026-03-13T13:00:00Z,90,focus_block,Focus block,
CAL-2026-0027,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-13T13:30:00Z,2026-03-13T14:15:00Z,45,hiring_pipeline_review,Hiring pipeline review,
CAL-2026-0028,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-13T13:45:00Z,2026-03-13T14:15:00Z,30,training,Training session,
CAL-2026-0029,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-13T14:00:00Z,2026-03-13T15:00:00Z,60,one_to_one,One to one,
CAL-2026-0030,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-13T15:00:00Z,2026-03-13T16:00:00Z,60,interview,"Interview, RQN-2026-0106, program manager",HR-03
CAL-2026-0031,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-13T15:30:00Z,2026-03-13T16:00:00Z,30,focus_block,Focus block,
CAL-2026-0032,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-16T11:00:00Z,2026-03-16T11:45:00Z,45,team_meeting,Team meeting,
CAL-2026-0033,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-16T11:30:00Z,2026-03-16T13:00:00Z,90,one_to_one,One to one,
CAL-2026-0034,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-16T13:15:00Z,2026-03-16T13:45:00Z,30,one_to_one,One to one,
CAL-2026-0035,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-16T15:15:00Z,2026-03-16T16:45:00Z,90,focus_block,Focus block,
CAL-2026-0036,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-16T15:45:00Z,2026-03-16T16:30:00Z,45,focus_block,Focus block,
CAL-2026-0037,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-17T10:30:00Z,2026-03-17T11:00:00Z,30,team_meeting,Team meeting,
CAL-2026-0038,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-17T12:45:00Z,2026-03-17T13:30:00Z,45,program_review,Program review,
CAL-2026-0039,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-17T13:15:00Z,2026-03-17T13:45:00Z,30,focus_block,Focus block,
CAL-2026-0040,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-17T14:00:00Z,2026-03-17T15:00:00Z,60,interview,"Interview, RQN-2026-0106, hiring manager",HR-03
CAL-2026-0041,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-17T15:00:00Z,2026-03-17T15:45:00Z,45,team_meeting,Team meeting,
CAL-2026-0042,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-17T16:15:00Z,2026-03-17T16:45:00Z,30,program_review,Program review,
CAL-2026-0043,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-18T09:45:00Z,2026-03-18T10:15:00Z,30,training,Training session,
CAL-2026-0044,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-18T11:45:00Z,2026-03-18T13:15:00Z,90,one_to_one,One to one,
CAL-2026-0045,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-18T12:15:00Z,2026-03-18T13:15:00Z,60,training,Training session,
CAL-2026-0046,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-18T13:30:00Z,2026-03-18T14:30:00Z,60,one_to_one,One to one,
CAL-2026-0047,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-18T15:45:00Z,2026-03-18T16:30:00Z,45,focus_block,Focus block,
CAL-2026-0048,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-19T09:30:00Z,2026-03-19T10:30:00Z,60,interview,"Interview, RQN-2026-0106, program manager",HR-03
CAL-2026-0049,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-19T11:15:00Z,2026-03-19T12:00:00Z,45,hiring_pipeline_review,Hiring pipeline review,
CAL-2026-0050,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-19T12:30:00Z,2026-03-19T13:15:00Z,45,focus_block,Focus block,
CAL-2026-0051,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-19T13:45:00Z,2026-03-19T14:15:00Z,30,team_meeting,Team meeting,
CAL-2026-0052,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-19T14:30:00Z,2026-03-19T15:30:00Z,60,hiring_pipeline_review,Hiring pipeline review,
CAL-2026-0053,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-19T15:15:00Z,2026-03-19T15:45:00Z,30,program_review,Program review,
CAL-2026-0054,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-19T16:00:00Z,2026-03-19T17:00:00Z,60,focus_block,Focus block,
CAL-2026-0055,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-19T16:00:00Z,2026-03-19T17:00:00Z,60,training,Training session,
CAL-2026-0056,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-20T09:00:00Z,2026-03-20T10:00:00Z,60,team_meeting,Team meeting,
CAL-2026-0057,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-20T09:30:00Z,2026-03-20T10:30:00Z,60,program_review,Program review,
CAL-2026-0058,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-20T12:00:00Z,2026-03-20T13:30:00Z,90,hiring_pipeline_review,Hiring pipeline review,
CAL-2026-0059,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-20T12:00:00Z,2026-03-20T12:45:00Z,45,program_review,Program review,
CAL-2026-0060,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-20T12:30:00Z,2026-03-20T13:00:00Z,30,training,Training session,
CAL-2026-0061,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-20T13:45:00Z,2026-03-20T14:30:00Z,45,program_review,Program review,
CAL-2026-0062,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-20T15:15:00Z,2026-03-20T16:00:00Z,45,focus_block,Focus block,
CAL-2026-0063,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-23T10:15:00Z,2026-03-23T11:15:00Z,60,training,Training session,
CAL-2026-0064,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-23T13:00:00Z,2026-03-23T13:30:00Z,30,stakeholder_review,Stakeholder review,
CAL-2026-0065,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-23T14:15:00Z,2026-03-23T15:00:00Z,45,sourcing_block,Sourcing block,
CAL-2026-0066,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-23T15:30:00Z,2026-03-23T17:00:00Z,90,program_review,Program review,
CAL-2026-0067,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-24T09:00:00Z,2026-03-24T09:45:00Z,45,team_meeting,Team meeting,
CAL-2026-0068,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-24T09:15:00Z,2026-03-24T10:15:00Z,60,stakeholder_review,Stakeholder review,
CAL-2026-0069,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-24T10:15:00Z,2026-03-24T11:45:00Z,90,training,Training session,
