record_id,employee_id,full_name,work_email,department,role_title,manager_employee_id,hire_date,date_of_birth,home_city,emergency_contact_name,emergency_contact_phone,health_accommodation_note,occupational_health_status,trade_union_membership,criminal_record_check_status,immigration_status,sensitivity_tier,lawful_basis,extracted_on
MSD-2026-0001,EMP-0038,Ivo Norwich,ivo.norwich.emp-0038@co002.example,Engineering,Engineering Manager,EMP-0005,2024-12-26,,Wilder Bend,Cormac Pennington,(555) 555-0128,quiet room reserved for scheduled rest breaks,review due,,,,special_category,explicit_consent,2026-04-03
MSD-2026-0002,EMP-0045,Ondine Pennington,ondine.pennington.emp-0045@co002.example,Engineering,Software Engineer,EMP-0020,2022-04-04,,Halstead Springs,Tamsin Duskwood,(555) 555-0184,,,,,,ordinary,contract,2026-04-03
MSD-2026-0003,EMP-0090,Kestrel Ravenscroft,kestrel.ravenscroft.emp-0090@co002.example,Engineering,Software Engineer,EMP-0016,2024-05-14,1987-10-31,Halstead Springs,Piran Vantree,(555) 555-0162,,,,,,restricted,legal_obligation,2026-04-03
MSD-2026-0004,EMP-0118,Quillon Nightshade,quillon.nightshade.emp-0118@co002.example,Engineering,Senior Software Engineer,EMP-0032,2024-04-23,,Stonebury,Aldous Dunmore,(555) 555-0177,,cleared,,,,special_category,explicit_consent,2026-04-03
MSD-2026-0005,EMP-0130,Perrin Oakhurst,perrin.oakhurst.emp-0130@co002.example,Engineering,Software Engineer,EMP-0019,2020-09-18,,Ridgemont Falls,Merritt Ivorwood,(555) 555-0164,,,,,,ordinary,contract,2026-04-03
MSD-2026-0006,EMP-0146,Quillon Norwich,quillon.norwich.emp-0146@co002.example,Engineering,Site Reliability Engineer,EMP-0027,2020-06-02,,Braddock Hollow,Quenby Holloway,(555) 555-0183,,,,,,ordinary,contract,2026-04-03
MSD-2026-0007,EMP-0152,Briar Grayling,briar.grayling.emp-0152@co002.example,Engineering,Site Reliability Engineer,EMP-0027,2024-09-08,,Coldwater Ridge,Halcyon Crestfall,(555) 555-0102,,,,,,ordinary,contract,2026-04-03
MSD-2026-0008,EMP-0158,Guinevere Thistlewood,guinevere.thistlewood.emp-0158@co002.example,Engineering,Staff Engineer,EMP-0019,2024-11-28,,Mapleton Heights,Sable Thistlewood,(555) 555-0194,,,,,,ordinary,contract,2026-04-03
MSD-2026-0009,EMP-0205,Kestrel Hallowell,kestrel.hallowell.emp-0205@co002.example,Product,Senior Product Manager,EMP-0201,2021-11-20,,Stonebury,Ulric Vantree,(555) 555-0196,,review due,,,,special_category,explicit_consent,2026-04-03
MSD-2026-0010,EMP-0208,Yara Blackwood,yara.blackwood.emp-0208@co002.example,Product,Senior Product Manager,EMP-0201,2024-02-26,,Silverbrook,Fenwick Marchbanks,(555) 555-0127,,,,,,ordinary,contract,2026-04-03
