checklist_id,checklist_task_id,task_code,task_name,phase,new_hire_employee_id,new_hire_full_name,new_hire_department,new_hire_role_title,requisition_id,start_date,owner_employee_id,owner_full_name,owner_role,due_date,status,completed_date,blocked_by_checklist_task_id,grants_system_id,grants_system_name,approval_owner_employee_id,approval_owner_role
ONB-2026-0001,ONBT-2026-0001,ONB-01,Send the written offer pack and collect the signed copy,pre_start,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0506,Lyric Corrigan,People Operations,2026-03-23,complete,2026-03-25,,,,,
ONB-2026-0001,ONBT-2026-0002,ONB-02,Open the payroll and benefits enrolment record,pre_start,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0506,Lyric Corrigan,People Operations,2026-03-25,complete,2026-03-27,,SYS-0031,payroll and benefits portal,EMP-0560,IT & Security
ONB-2026-0001,ONBT-2026-0003,ONB-03,Raise the identity directory account request,pre_start,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0560,Reyna Osgood,IT & Security,2026-03-26,complete,2026-03-30,,SYS-0001,identity directory,EMP-0196,Hiring Manager
ONB-2026-0001,ONBT-2026-0004,ONB-04,Raise the workplace email and calendar request,pre_start,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0560,Reyna Osgood,IT & Security,2026-03-27,complete,2026-03-26,,SYS-0004,workplace email and calendar,EMP-0196,Hiring Manager
ONB-2026-0001,ONBT-2026-0005,ONB-05,Order the laptop and the building access badge,pre_start,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0560,Reyna Osgood,IT & Security,2026-03-30,complete,2026-03-27,,,,,
ONB-2026-0001,ONBT-2026-0006,ONB-06,Name the onboarding buddy for the first two weeks,pre_start,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0196,Isolde Nightshade,Hiring Manager,2026-03-30,complete,2026-03-27,,,,,
ONB-2026-0001,ONBT-2026-0007,ONB-07,Write the first thirty day plan,pre_start,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0196,Isolde Nightshade,Hiring Manager,2026-03-31,complete,2026-03-30,,,,,
ONB-2026-0001,ONBT-2026-0008,ONB-11,Raise the product analytics workspace request,pre_start,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0560,Reyna Osgood,IT & Security,2026-03-31,complete,2026-03-30,,SYS-0029,product analytics workspace,EMP-0196,Hiring Manager
ONB-2026-0001,ONBT-2026-0009,ONB-12,Confirm the start date and the joining instructions with the new hire,pre_start,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0523,Delphine Everhart,Recruiter,2026-04-01,complete,2026-03-31,,,,,
ONB-2026-0001,ONBT-2026-0010,ONB-13,Confirm every system access request is ready before day one,pre_start,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0506,Lyric Corrigan,People Operations,2026-04-02,not_started,,ONBT-2026-0018,,,,
ONB-2026-0001,ONBT-2026-0011,ONB-14,Send the welcome note and the first day agenda,pre_start,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0506,Lyric Corrigan,People Operations,2026-04-03,in_progress,,,,,,
ONB-2026-0001,ONBT-2026-0012,ONB-15,Run the first day welcome and the workplace tour,day_one,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0506,Lyric Corrigan,People Operations,2026-04-06,not_started,,,,,,
ONB-2026-0001,ONBT-2026-0013,ONB-16,Hand over the laptop and the access badge,day_one,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0560,Reyna Osgood,IT & Security,2026-04-06,not_started,,,,,,
