assignment_id,cycle_id,reviewee_employee_id,reviewee_full_name,reviewee_department,reviewee_role_title,reviewer_employee_id,reviewer_full_name,reviewer_department,reviewer_role_title,reviewer_relationship,escalation_contact_employee_id,escalation_contact_full_name,due_date,submitted_date,status
RVA-2026-0001,RVC-2026-0001,EMP-0499,Nessa Duskwood,People,"Director, People",EMP-0498,Baxter Pennington,People,"VP, People",manager,EMP-0001,Kestrel Ashgrove,2026-04-13,2026-03-23,submitted
RVA-2026-0002,RVC-2026-0001,EMP-0500,Delphine Ashgrove,People,"Director, People",EMP-0498,Baxter Pennington,People,"VP, People",manager,EMP-0001,Kestrel Ashgrove,2026-04-14,,not_started
RVA-2026-0003,RVC-2026-0001,EMP-0502,Isolde Elderkin,People,People Manager,EMP-0499,Nessa Duskwood,People,"Director, People",manager,EMP-0498,Baxter Pennington,2026-04-01,2026-03-31,submitted
RVA-2026-0004,RVC-2026-0001,EMP-0504,Perrin Ingledew,People,People Manager,EMP-0499,Nessa Duskwood,People,"Director, People",manager,EMP-0498,Baxter Pennington,2026-04-02,2026-03-25,submitted
RVA-2026-0005,RVC-2026-0001,EMP-0501,Cormac Ashby,People,People Manager,EMP-0500,Delphine Ashgrove,People,"Director, People",manager,EMP-0498,Baxter Pennington,2026-03-27,2026-03-23,submitted
RVA-2026-0006,RVC-2026-0001,EMP-0503,Corwin Quennell,People,People Manager,EMP-0500,Delphine Ashgrove,People,"Director, People",manager,EMP-0498,Baxter Pennington,2026-03-30,2026-03-25,submitted
RVA-2026-0007,RVC-2026-0001,EMP-0507,Dashiell Ivorwood,People,HR Business Partner,EMP-0501,Cormac Ashby,People,People Manager,manager,EMP-0500,Delphine Ashgrove,2026-04-01,2026-03-23,submitted
RVA-2026-0008,RVC-2026-0001,EMP-0509,Aldous Crestfall,People,People Operations Specialist,EMP-0501,Cormac Ashby,People,People Manager,manager,EMP-0500,Delphine Ashgrove,2026-04-02,2026-03-25,submitted
RVA-2026-0009,RVC-2026-0001,EMP-0511,Emlyn Loxley,People,People Operations Specialist,EMP-0501,Cormac Ashby,People,People Manager,manager,EMP-0500,Delphine Ashgrove,2026-03-27,2026-03-26,submitted
RVA-2026-0010,RVC-2026-0001,EMP-0518,Briar Vantree,People,People Operations Specialist,EMP-0501,Cormac Ashby,People,People Manager,manager,EMP-0500,Delphine Ashgrove,2026-04-06,,in_progress
RVA-2026-0011,RVC-2026-0001,EMP-0521,Merritt Underhill,People,People Operations Specialist,EMP-0501,Cormac Ashby,People,People Manager,manager,EMP-0500,Delphine Ashgrove,2026-03-30,2026-03-24,submitted
RVA-2026-0012,RVC-2026-0001,EMP-0523,Delphine Everhart,People,Recruiter,EMP-0501,Cormac Ashby,People,People Manager,manager,EMP-0500,Delphine Ashgrove,2026-03-31,2026-03-27,submitted
RVA-2026-0013,RVC-2026-0001,EMP-0522,Sorrel Everhart,People,People Operations Specialist,EMP-0502,Isolde Elderkin,People,People Manager,manager,EMP-0499,Nessa Duskwood,2026-04-08,2026-04-01,submitted
RVA-2026-0014,RVC-2026-0001,EMP-0524,Marlowe Duskwood,People,HR Business Partner,EMP-0502,Isolde Elderkin,People,People Manager,manager,EMP-0499,Nessa Duskwood,2026-04-09,,in_progress
