contact_id,account_id,email,jurisdiction,subscriber_type,consent_status,optout_date,optout_honored_date,do_not_contact,dnc_effective_date,suppressed
ct-co-102-01,co-102,casey.whitfield@amberfieldlogistics.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-103-01,co-103,morgan.alvarez@fernwellretailgroup.example,EU,corporate,gdpr_consent_confirmed,,,false,,false
ct-co-103-02,co-103,riley.coburn@fernwellretailgroup.example,EU,corporate,optout_honored,2026-02-18,2026-02-27,false,,true
ct-co-122-01,co-122,emerson.petrov@lodestarlogistics.example,UK,corporate,gdpr_consent_confirmed,,,false,,false
ct-co-122-02,co-122,blair.petrov@lodestarlogistics.example,UK,corporate,optout_honored,2026-02-17,2026-02-25,false,,true
ct-co-124-01,co-124,casey.marsten@talonworksinteractive.example,US,corporate,canspam_default_permitted,,,true,2026-03-12,true
ct-co-124-02,co-124,morgan.singh@talonworksinteractive.example,US,corporate,optout_honored,2026-02-02,2026-02-16,true,2026-03-12,true
ct-co-125-01,co-125,casey.delacroix@thornfieldhealth.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-125-02,co-125,rowan.nakamura@thornfieldhealth.example,US,corporate,us_express_consent,,,false,,false
ct-co-125-03,co-125,skyler.petrov@thornfieldhealth.example,US,corporate,us_express_consent,,,false,,false
ct-co-140-01,co-140,skyler.nakamura@bramblecourtanalytics.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-140-02,co-140,riley.yun@bramblecourtanalytics.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-140-03,co-140,morgan.alvarez@bramblecourtanalytics.example,US,corporate,optout_honored,2026-02-12,2026-03-12,false,,true
ct-co-141-01,co-141,emerson.singh@northfieldholdings.example,EU,corporate,gdpr_consent_confirmed,,,false,,false
ct-co-142-01,co-142,sage.petrov@cinderbrookllc.example,US,corporate,optout_honored,2026-02-13,2026-02-17,false,,true
ct-co-142-02,co-142,emerson.coburn@cinderbrookllc.example,US,corporate,us_express_consent,,,false,,false
ct-co-143-01,co-143,riley.okafor@amberlineholdings.example,UK,corporate,pecr_corporate_subscriber,,,false,,false
ct-co-144-01,co-144,morgan.yun@foxglovepartners.example,EU,corporate,optout_honored,2026-02-09,2026-02-23,false,,true
ct-co-144-02,co-144,avery.marsten@foxglovepartners.example,EU,corporate,gdpr_opt_in_pending,,,false,,false
ct-co-145-01,co-145,morgan.alvarez@thornwickpartners.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-145-02,co-145,riley.whitfield@thornwickpartners.example,US,corporate,us_express_consent,,,false,,false
ct-co-146-01,co-146,blair.whitfield@meridianvalegroup.example,UK,corporate,optout_honored,2026-02-23,2026-02-26,false,,true
ct-co-146-02,co-146,sage.marsten@meridianvalegroup.example,UK,corporate,optout_honored,2026-02-04,2026-02-11,false,,true
ct-co-146-03,co-146,emerson.alvarez@meridianvalegroup.example,UK,corporate,pecr_corporate_subscriber,,,false,,false
ct-co-147-01,co-147,skyler.nakamura@sagebrookllc.example,EU,corporate,gdpr_opt_in_pending,,,false,,false
ct-co-147-02,co-147,sage.coburn@sagebrookllc.example,EU,corporate,gdpr_opt_in_pending,,,false,,false
ct-co-148-01,co-148,emerson.marsten@cobblefieldpartners.example,UK,corporate,gdpr_consent_confirmed,,,false,,false
ct-co-148-02,co-148,morgan.okafor@cobblefieldpartners.example,UK,corporate,gdpr_consent_confirmed,,,false,,false
ct-co-149-01,co-149,jordan.alvarez@wrenhavengroup.example,UK,individual,pecr_consent_required,,,false,,false
ct-co-150-01,co-150,blair.singh@elmsteadholdings.example,US,corporate,optout_honored,2026-02-04,2026-02-06,false,,true
ct-co-150-02,co-150,riley.marsten@elmsteadholdings.example,US,corporate,optout_honored,2026-02-02,2026-02-12,false,,true
ct-co-151-01,co-151,avery.coburn@copperfenpartners.example,US,corporate,us_express_consent,,,false,,false
ct-co-152-01,co-152,emerson.yun@larchmontholdings.example,EU,corporate,optout_honored,2026-02-26,2026-03-03,false,,true
ct-co-152-02,co-152,sage.delacroix@larchmontholdings.example,EU,corporate,gdpr_consent_confirmed,,,false,,false
ct-co-153-01,co-153,rowan.marsten@silverdaleanalytics.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-154-01,co-154,emerson.coburn@windrowholdings.example,US,corporate,optout_honored,2026-02-09,2026-02-12,false,,true
ct-co-154-02,co-154,rowan.whitfield@windrowholdings.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-154-03,co-154,blair.okafor@windrowholdings.example,US,corporate,optout_honored,2026-02-16,2026-02-19,false,,true
ct-co-155-01,co-155,riley.okafor@hazelmereanalytics.example,EU,corporate,gdpr_opt_in_pending,,,false,,false
ct-co-155-02,co-155,rowan.marsten@hazelmereanalytics.example,EU,corporate,gdpr_consent_confirmed,,,false,,false
ct-co-156-01,co-156,blair.petrov@brightfengroup.example,UK,corporate,pecr_corporate_subscriber,,,false,,false
ct-co-157-01,co-157,sage.yun@cragmooranalytics.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-157-02,co-157,casey.yun@cragmooranalytics.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-158-01,co-158,avery.yun@duskfieldanalytics.example,US,corporate,us_express_consent,,,false,,false
ct-co-159-01,co-159,sage.nakamura@ferngrovesystems.example,EU,corporate,gdpr_opt_in_pending,,,false,,false
