contact_id,email,suppressed
ct-co-102-01,casey.whitfield@amberfieldlogistics.example,false
ct-co-103-01,morgan.alvarez@fernwellretailgroup.example,false
ct-co-103-02,riley.coburn@fernwellretailgroup.example,true
ct-co-122-01,emerson.petrov@lodestarlogistics.example,false
ct-co-122-02,blair.petrov@lodestarlogistics.example,true
ct-co-124-01,casey.marsten@talonworksinteractive.example,true
ct-co-124-02,morgan.singh@talonworksinteractive.example,true
ct-co-125-01,casey.delacroix@thornfieldhealth.example,false
ct-co-125-02,rowan.nakamura@thornfieldhealth.example,false
ct-co-125-03,skyler.petrov@thornfieldhealth.example,false
ct-co-140-01,skyler.nakamura@bramblecourtanalytics.example,false
ct-co-140-02,riley.yun@bramblecourtanalytics.example,false
ct-co-140-03,morgan.alvarez@bramblecourtanalytics.example,true
ct-co-141-01,emerson.singh@northfieldholdings.example,false
ct-co-142-01,sage.petrov@cinderbrookllc.example,true
ct-co-142-02,emerson.coburn@cinderbrookllc.example,false
ct-co-143-01,riley.okafor@amberlineholdings.example,false
ct-co-144-01,morgan.yun@foxglovepartners.example,true
ct-co-144-02,avery.marsten@foxglovepartners.example,false
ct-co-145-01,morgan.alvarez@thornwickpartners.example,false
ct-co-145-02,riley.whitfield@thornwickpartners.example,false
ct-co-146-01,blair.whitfield@meridianvalegroup.example,true
ct-co-146-02,sage.marsten@meridianvalegroup.example,true
ct-co-146-03,emerson.alvarez@meridianvalegroup.example,false
ct-co-147-01,skyler.nakamura@sagebrookllc.example,false
ct-co-147-02,sage.coburn@sagebrookllc.example,false
ct-co-148-01,emerson.marsten@cobblefieldpartners.example,false
ct-co-148-02,morgan.okafor@cobblefieldpartners.example,false
ct-co-149-01,jordan.alvarez@wrenhavengroup.example,false
ct-co-150-01,blair.singh@elmsteadholdings.example,true
ct-co-150-02,riley.marsten@elmsteadholdings.example,true
ct-co-151-01,avery.coburn@copperfenpartners.example,false
ct-co-152-01,emerson.yun@larchmontholdings.example,true
ct-co-152-02,sage.delacroix@larchmontholdings.example,false
ct-co-153-01,rowan.marsten@silverdaleanalytics.example,false
ct-co-154-01,emerson.coburn@windrowholdings.example,true
ct-co-154-02,rowan.whitfield@windrowholdings.example,false
ct-co-154-03,blair.okafor@windrowholdings.example,true
ct-co-155-01,riley.okafor@hazelmereanalytics.example,false
ct-co-155-02,rowan.marsten@hazelmereanalytics.example,false
ct-co-156-01,blair.petrov@brightfengroup.example,false
ct-co-157-01,sage.yun@cragmooranalytics.example,false
ct-co-157-02,casey.yun@cragmooranalytics.example,false
ct-co-158-01,avery.yun@duskfieldanalytics.example,false
ct-co-159-01,sage.nakamura@ferngrovesystems.example,false
ct-co-159-02,rowan.nakamura@ferngrovesystems.example,false
ct-co-160-01,blair.okafor@gladewickllc.example,true
ct-co-161-01,emerson.whitfield@hollowayvalepartners.example,true
ct-co-161-02,morgan.delacroix@hollowayvalepartners.example,false
ct-co-162-01,jordan.coburn@ironbrookpartners.example,false
ct-co-163-01,jordan.singh@junewoodllc.example,false
ct-co-164-01,casey.marsten@kettlebrookpartners.example,false
ct-co-164-02,sage.coburn@kettlebrookpartners.example,true
ct-co-164-03,riley.delacroix@kettlebrookpartners.example,false
ct-co-165-01,blair.singh@bramblecourtllc.example,false
ct-co-165-02,blair.alvarez@bramblecourtllc.example,true
ct-co-165-03,skyler.marsten@bramblecourtllc.example,false
ct-co-166-01,casey.delacroix@northfieldgroup.example,false
ct-co-166-02,blair.okafor@northfieldgroup.example,false
ct-co-166-03,riley.coburn@northfieldgroup.example,false
ct-co-167-01,casey.alvarez@cinderbrookpartners.example,false
ct-co-168-01,rowan.delacroix@amberlinesystems.example,true
ct-co-168-02,jordan.coburn@amberlinesystems.example,true
ct-co-169-01,sage.marsten@foxgloveholdings.example,false
ct-co-170-01,riley.okafor@amberlineholdings.example,false
ct-co-170-02,blair.coburn@amberlineholdings.example,false
ct-co-170-03,blair.alvarez@amberlineholdings.example,true
